;IDX;;COLUMN_NAME;;;DESCRIPTION;;;;|;;;DATA_TYPE;|;IS_NULLABLE
**;34;.;Fecha_confir_ult_decreto_resol;**;:  ;"Fecha en la que se confirma el decreto de resolución
del expediente correspondiente (Renovación, Cambio
de titularidad, modificación…). El formato de la fecha
es dd/mm/aaaa. ";;;;|;;;CHARACTER VARYING;|;YES
**;35;.;id_ndp_terraza;**;:  ;"Código numérico que identifica la dirección más cercana a la
ubicación real de la terraza (tipo de vía, nombre de vía, nominal,
número y calificador). ";;;;|;;;CHARACTER VARYING;|;YES
**;36;.;id_clase_ndp_terraza;**;:  ;"Código numérico que identifica el tipo de dirección: “1” si es
una dirección normalizada (oficial) y “9” si es una dirección no
normalizada. Para los tipos de acceso mostrados no debe de
aparecer ningún clase “9”. ";;;;|;;;CHARACTER VARYING;|;YES
**;37;.;ID_VIAL;**;:  ;Código numérico que identifica la clase más el nombre de via del edificio;;;;|;;;CHARACTER VARYING;|;YES
**;38;.;DESC_CLASE;**;:  ;Recoge si se trata de Calle, Avenida, Plaza…;;;;|;;;CHARACTER VARYING;|;YES
**;39;.;DESC_NOMBRE;**;:  ;Nombre de la vía según el callejero oficial;;;;|;;;CHARACTER VARYING;|;YES
**;40;.;nom_terraza;**;:  ;Nombre de la terraza;;;;|;;;CHARACTER VARYING;|;YES
**;41;.;num_terraza;**;:  ;Numero de la terraza;;;;|;;;CHARACTER VARYING;|;YES
**;42;.;cal_terraza;**;:  ;"Calificador del número (A,B,…,DUP,). No tiene por qué existir
siempre";;;;|;;;CHARACTER VARYING;|;YES
**;43;.;desc_ubicacion_terraza;**;:  ;Recoge la ubicación de la terraza en función de que se situe en: Acera, Plaza peatonal, superficie en parcela privada, Bulevar, Calle peatonal, calle sin salida, plaza con bandas permanentes de circulación rodada y otros;;;;|;;;CHARACTER VARYING;|;YES
**;44;.;hora_ini_LJ_es;**;:  ;Horario inicio de domingo a jueves periodo estacional;;;;|;;;CHARACTER VARYING;|;YES
**;45;.;hora_fin_LJ_es;**;:  ;Horario fin de domingo a jueves periodo estacional;;;;|;;;CHARACTER VARYING;|;YES
**;46;.;hora_ini_LJ_ra;**;:  ;Horario inicio de domingo a jueves resto del año;;;;|;;;CHARACTER VARYING;|;YES
**;47;.;hora_fin_LJ_ra;**;:  ;Horario fin de domingo a jueves resto del año;;;;|;;;CHARACTER VARYING;|;YES
**;48;.;hora_ini_VS_es;**;:  ;Horario inicio de viernes, sábados y vísperas de festivo periodo estacional;;;;|;;;CHARACTER VARYING;|;YES
**;49;.;hora_fin_VS_es;**;:  ;Horario fin de viernes, sábados y vísperas de festivo periodo estacional;;;;|;;;CHARACTER VARYING;|;YES
**;50;.;hora_ini_VS_ra;**;:  ;Horario inicio de viernes, sábados y vísperas de festivo resto del año;;;;|;;;CHARACTER VARYING;|;YES
**;51;.;hora_fin_VS_ra;**;:  ;Horario fin de viernes, sábados y vísperas de festivo resto del año;;;;|;;;CHARACTER VARYING;|;YES
**;52;.;mesas_aux_es;**;:  ;nº de mesas auxiliares autorizadas en periodo estacional;;;;|;;;CHARACTER VARYING;|;YES
**;53;.;mesas_aux_ra;**;:  ;nº de mesas auxiliares autorizadas resto del año;;;;|;;;CHARACTER VARYING;|;YES
**;54;.;mesas_es;**;:  ;nº de mesas autorizadas en periodo estacional;;;;|;;;CHARACTER VARYING;|;YES
**;55;.;mesas_ra;**;:  ;nº de mesas autorizadas resto del año;;;;|;;;CHARACTER VARYING;|;YES
**;56;.;sillas_es;**;:  ;nº de sillas autorizadas en periodo estacional;;;;|;;;CHARACTER VARYING;|;YES
**;57;.;sillas_ra;**;:  ;nº de sillas autorizadas resto del año;;;;|;;;CHARACTER VARYING;|;YES
